vendor	page	bytes	constraints	relevance	disposition
mcp	seps__1330-elicitation-enum-schema-improvements-and-standards	17007	2	40	SCAN-ONLY
mcp	seps__1613-establish-json-schema-2020-12-as-default-dialect-f	8103	2	39	SCAN-ONLY
mcp	seps__1730-sdks-tiering-system	10920	1	5	SCAN-ONLY
mcp	seps__2133-extensions	20119	1	10	SCAN-ONLY
mcp	seps__2149-working-group-charter-template	24898	1	27	SCAN-ONLY
mcp	seps__991-enable-url-based-client-registration-using-oauth-c	17611	1	27	SCAN-ONLY
mcp	specification__2025-11-25__basic__authorization	41647	1	100	SCAN-ONLY
mcp	specification__2025-11-25__basic__index	11194	1	35	SCAN-ONLY
agy	ide__allowlist-denylist	1294	1	17	SCAN-ONLY
claude	microsoft-foundry	10424	1	10	SCAN-ONLY
mcp	community__working-groups__skills-over-mcp	12268	1	11	SCAN-ONLY
mcp	docs__develop__connect-local-servers	13909	1	8	SCAN-ONLY
agy	plans	2672	1	18	SCAN-ONLY
claude	legal-and-compliance	3590	1	7	SCAN-ONLY
mcp	docs__learn__versioning	2210	1	1	SCAN-ONLY
mcp	seps__1024-mcp-client-security-requirements-for-local-server-	6413	1	2	SCAN-ONLY
mcp	seps__1303-input-validation-errors-as-tool-execution-errors	7518	1	4	SCAN-ONLY
mcp	seps__2207-oidc-refresh-token-guidance	9800	1	12	SCAN-ONLY
mcp	seps__985-align-oauth-20-protected-resource-metadata-with-rf	6299	1	8	SCAN-ONLY
agy	artifact-review	1883	0	13	SCAN-ONLY
agy	build-with-google	5003	0	4	SCAN-ONLY
agy	cli__best-practices	5713	0	17	SCAN-ONLY
agy	cli__commands__agents	6832	0	37	SCAN-ONLY
agy	cli__commands__codesearch	4197	0	0	NO-SIGNAL
agy	cli__commands__credits	1282	0	19	SCAN-ONLY
agy	cli__commands__diff	4957	0	6	SCAN-ONLY
agy	cli__commands__resume	4207	0	12	SCAN-ONLY
agy	cli__commands__statusline	1993	0	2	SCAN-ONLY
agy	cli__commands__title	1119	0	0	NO-SIGNAL
agy	cli__commands__usage	1518	0	5	SCAN-ONLY
agy	cli__conversations	2589	0	9	SCAN-ONLY
agy	cli__credits	9104	0	1	SCAN-ONLY
agy	cli__gcli-migration	4585	0	16	SCAN-ONLY
agy	cli__getting-started	2845	0	2	SCAN-ONLY
agy	cli__install	3531	0	12	SCAN-ONLY
agy	cli__permissions	6206	0	20	SCAN-ONLY
agy	cli__plugins	7011	0	25	SCAN-ONLY
agy	cli__projects	1501	0	7	SCAN-ONLY
agy	cli__prompting	3369	0	1	SCAN-ONLY
agy	cli__statusline	5512	0	19	SCAN-ONLY
agy	cli__title	2368	0	5	SCAN-ONLY
agy	cli__tutorial	2703	0	6	SCAN-ONLY
agy	enterprise	4404	0	1	SCAN-ONLY
agy	faq	6011	0	5	SCAN-ONLY
agy	features	4121	0	9	SCAN-ONLY
agy	firebase-studio-migration	6251	0	2	SCAN-ONLY
agy	getting-started	2855	0	5	SCAN-ONLY
agy	home	7146	0	0	NO-SIGNAL
agy	hooks	13687	0	72	SCAN-ONLY
agy	ide__agent-side-panel	512	0	1	SCAN-ONLY
agy	ide__browser-recordings	527	0	2	SCAN-ONLY
agy	ide__browser	7531	0	0	NO-SIGNAL
agy	ide__getting-started	581	0	0	NO-SIGNAL
agy	ide__hooks	13679	0	72	SCAN-ONLY
agy	ide__overview	2276	0	2	SCAN-ONLY
agy	ide__plugins	2977	0	11	SCAN-ONLY
agy	ide__review-changes-editor	554	0	2	SCAN-ONLY
agy	ide__rules	2005	0	21	SCAN-ONLY
agy	ide__screenshots	494	0	1	SCAN-ONLY
agy	ide__separate-chrome-profile	1020	0	1	SCAN-ONLY
agy	ide__skills	4958	0	4	SCAN-ONLY
agy	ide__tab	2106	0	0	NO-SIGNAL
agy	ide__walkthrough	678	0	2	SCAN-ONLY
agy	ide__workflows	1945	0	18	SCAN-ONLY
agy	mcp	10333	0	19	SCAN-ONLY
agy	models	1741	0	2	SCAN-ONLY
agy	overview	1306	0	0	NO-SIGNAL
agy	permissions	7071	0	25	SCAN-ONLY
agy	plugins	2973	0	11	SCAN-ONLY
agy	pricing	8746	0	0	NO-SIGNAL
agy	product__antigravity-cli	1807	0	5	SCAN-ONLY
agy	product__antigravity-sdk	1431	0	0	NO-SIGNAL
agy	projects	4006	0	10	SCAN-ONLY
agy	rules-workflows	3821	0	39	SCAN-ONLY
agy	screenshots	490	0	1	SCAN-ONLY
agy	settings	3841	0	10	SCAN-ONLY
agy	skills	4949	0	4	SCAN-ONLY
agy	terms	4292	0	3	SCAN-ONLY
agy	walkthrough	674	0	2	SCAN-ONLY
claude	agent-sdk__migration-guide	9751	0	2	SCAN-ONLY
claude	agent-sdk__plugins	12334	0	3	SCAN-ONLY
claude	agent-sdk__sessions	21631	0	23	SCAN-ONLY
claude	agent-sdk__skills	12657	0	4	SCAN-ONLY
claude	agent-sdk__slash-commands	20439	0	22	SCAN-ONLY
claude	agent-sdk__streaming-output	15737	0	16	SCAN-ONLY
claude	agent-sdk__streaming-vs-single-mode	10694	0	8	SCAN-ONLY
claude	agent-sdk__todo-tracking	15910	0	1	SCAN-ONLY
claude	agent-sdk__tool-search	10988	0	2	SCAN-ONLY
claude	agent-sdk__typescript-v2-preview	12050	0	9	SCAN-ONLY
claude	analytics	12545	0	11	SCAN-ONLY
claude	champion-kit	22388	0	11	SCAN-ONLY
claude	claude-apps-gateway-spend-limits	15423	0	11	SCAN-ONLY
claude	claude-security	13078	0	3	SCAN-ONLY
claude	communications-kit	25707	0	13	SCAN-ONLY
claude	desktop-ios-simulator	11080	0	11	SCAN-ONLY
claude	desktop-wsl	2962	0	1	SCAN-ONLY
claude	gitlab-ci-cd	18266	0	28	SCAN-ONLY
claude	output-styles	9911	0	12	SCAN-ONLY
claude	platforms	11138	0	8	SCAN-ONLY
claude	quickstart	12864	0	19	SCAN-ONLY
claude	slack	14714	0	12	SCAN-ONLY
claude	terminal-config	21707	0	43	SCAN-ONLY
claude	third-party-integrations	16356	0	12	SCAN-ONLY
claude	whats-new__2026-w13	8004	0	15	SCAN-ONLY
claude	whats-new__2026-w14	7874	0	6	SCAN-ONLY
claude	whats-new__2026-w24	5377	0	12	SCAN-ONLY
mcp	community__antitrust	5566	0	2	SCAN-ONLY
mcp	community__charter-template	5946	0	9	SCAN-ONLY
mcp	community__communication	6266	0	0	NO-SIGNAL
mcp	community__contributing	22880	0	35	SCAN-ONLY
mcp	community__contributor-ladder	19602	0	13	SCAN-ONLY
mcp	community__design-principles	4027	0	2	SCAN-ONLY
mcp	community__governance	9112	0	5	SCAN-ONLY
mcp	community__interest-groups__auth	9215	0	9	SCAN-ONLY
mcp	community__interest-groups__financial-services	7094	0	5	SCAN-ONLY
mcp	community__interest-groups__security	9169	0	7	SCAN-ONLY
mcp	community__interest-groups__tool-annotations	7469	0	0	NO-SIGNAL
mcp	community__sdk-tiers	8715	0	1	SCAN-ONLY
mcp	community__security	3788	0	6	SCAN-ONLY
mcp	community__sep-guidelines	14631	0	6	SCAN-ONLY
mcp	community__working-groups__file-uploads	6206	0	6	SCAN-ONLY
mcp	community__working-groups__inspector-v2	7689	0	9	SCAN-ONLY
mcp	community__working-groups__interceptors	7022	0	7	SCAN-ONLY
mcp	community__working-groups__registry	7766	0	10	SCAN-ONLY
mcp	community__working-groups__sdk	6469	0	5	SCAN-ONLY
mcp	community__working-groups__server-card	5782	0	4	SCAN-ONLY
mcp	community__working-groups__triggers-events	4777	0	9	SCAN-ONLY
mcp	community__working-interest-groups	15998	0	8	SCAN-ONLY
mcp	development__roadmap	9013	0	4	SCAN-ONLY
mcp	docs__develop__build-server	97155	0	9	SCAN-ONLY
mcp	docs__develop__build-with-agent-skills	5077	0	2	SCAN-ONLY
mcp	docs__develop__connect-remote-servers	10733	0	2	SCAN-ONLY
mcp	docs__getting-started__intro	3213	0	0	NO-SIGNAL
mcp	docs__sdk	4322	0	0	NO-SIGNAL
mcp	docs__tools__debugging	10028	0	3	SCAN-ONLY
mcp	docs__tools__inspector	4220	0	4	SCAN-ONLY
mcp	examples	3737	0	0	NO-SIGNAL
mcp	extensions__apps__build	20583	0	3	SCAN-ONLY
mcp	extensions__apps__overview	12574	0	14	SCAN-ONLY
mcp	extensions__auth__enterprise-managed-authorization	8668	0	3	SCAN-ONLY
mcp	extensions__auth__overview	4002	0	12	SCAN-ONLY
mcp	extensions__client-matrix	6380	0	8	SCAN-ONLY
mcp	extensions__overview	8825	0	7	SCAN-ONLY
mcp	extensions__tasks__overview	9890	0	7	SCAN-ONLY
mcp	registry__about	6786	0	1	SCAN-ONLY
mcp	registry__authentication	11387	0	46	SCAN-ONLY
mcp	registry__faq	2440	0	0	NO-SIGNAL
mcp	registry__github-actions	7730	0	12	SCAN-ONLY
mcp	registry__moderation-policy	3012	0	0	NO-SIGNAL
mcp	registry__package-types	7167	0	12	SCAN-ONLY
mcp	registry__quickstart	10322	0	13	SCAN-ONLY
mcp	registry__registry-aggregators	4999	0	3	SCAN-ONLY
mcp	registry__remote-servers	5312	0	13	SCAN-ONLY
mcp	registry__terms-of-service	7538	0	1	SCAN-ONLY
mcp	registry__versioning	6300	0	4	SCAN-ONLY
mcp	seps__1034--support-default-values-for-all-primitive-types-in	6340	0	4	SCAN-ONLY
mcp	seps__1046-support-oauth-client-credentials-flow-in-authoriza	4159	0	10	SCAN-ONLY
mcp	seps__1302-formalize-working-groups-and-interest-groups-in-mc	16820	0	4	SCAN-ONLY
mcp	seps__1319-decouple-request-payload-from-rpc-methods-definiti	6251	0	1	SCAN-ONLY
mcp	seps__1699-support-sse-polling-via-server-side-disconnect	4598	0	2	SCAN-ONLY
mcp	seps__1850-pr-based-sep-workflow	9783	0	9	SCAN-ONLY
mcp	seps__2085-governance-succession-and-amendment	7058	0	2	SCAN-ONLY
mcp	seps__2164-resource-not-found-error	7892	0	1	SCAN-ONLY
mcp	seps__2468-recommend-issuer-claim-for-auth	8136	0	3	SCAN-ONLY
mcp	seps__2484-conformance-tests-required-for-final-seps	15572	0	7	SCAN-ONLY
mcp	seps__414-request-meta	5539	0	3	SCAN-ONLY
mcp	seps__932-model-context-protocol-governance	4761	0	1	SCAN-ONLY
mcp	seps__973-expose-additional-metadata-for-implementations-res	7027	0	1	SCAN-ONLY
mcp	seps__986-specify-format-for-tool-names	4639	0	1	SCAN-ONLY
mcp	seps__990-enable-enterprise-idp-policy-controls-during-mcp-o	3596	0	4	SCAN-ONLY
mcp	seps__994-shared-communication-practicesguidelines	4738	0	3	SCAN-ONLY
mcp	seps__index	12692	0	18	SCAN-ONLY
mcp	specification__2025-11-25__basic__utilities__ping	1791	0	2	SCAN-ONLY
mcp	specification__2025-11-25__basic__utilities__progress	3300	0	5	SCAN-ONLY
mcp	specification__2025-11-25__changelog	5435	0	6	SCAN-ONLY
mcp	specification__2025-11-25__client__roots	4409	0	1	SCAN-ONLY
mcp	specification__2025-11-25__index	5542	0	6	SCAN-ONLY
mcp	specification__2025-11-25__server__index	1726	0	0	NO-SIGNAL
mcp	specification__2025-11-25__server__prompts	7313	0	3	SCAN-ONLY
mcp	specification__2025-11-25__server__resources	10365	0	5	SCAN-ONLY
mcp	specification__2025-11-25__server__tools	14058	0	30	SCAN-ONLY
mcp	specification__2025-11-25__server__utilities__completion	5042	0	1	SCAN-ONLY
mcp	specification__2025-11-25__server__utilities__logging	4004	0	3	SCAN-ONLY
mcp	specification__2025-11-25__server__utilities__pagination	2598	0	1	SCAN-ONLY
agy	hooks-embedded	11068	0	95	PENDING-DEPTH
